[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  4   1  91   4   0   0| 743M 52.9M 1750M 32.3M|   0    52B|   0     0 
  4  11  83   3   0   0| 744M 52.9M 1750M 31.5M|   0     0 |   0    60k
  3   4  93   0   0   0| 743M 52.9M 1750M 32.1M|   0    52B|   0     0 
  3   2  92   4   0   0| 743M 52.9M 1750M 32.1M|   0     0 |   0     0 
  3   3  88   7   0   0| 743M 52.9M 1746M 36.3M|   0    52B|   0  7232k
  4   1  91   4   0   0| 743M 52.9M 1746M 36.3M|   0     0 |   0     0 
  4   1  95   0   0   0| 743M 52.9M 1746M 36.2M|   0    52B|   0     0 
  9   4  87   0   0   0| 743M 52.9M 1749M 33.2M|   0     0 |   0     0 
  5   2  89   4   0   0| 743M 52.9M 1749M 33.2M|   0    52B|   0     0 
  5   2  91   2   0   0| 743M 52.9M 1749M 33.2M|   0     0 |   0    60k
  4   3  93   0   0   0| 743M 52.9M 1749M 33.2M|   0    52B|   0     0 
  6   2  89   4   0   0| 743M 52.9M 1749M 33.2M|   0     0 |   0     0 
  7   7  87   0   0   0| 743M 52.9M 1749M 33.2M|   0    52B|   0    12k
  6   2  88   4   0   0| 743M 52.9M 1749M 33.2M|   0     0 |   0     0 
  6   3  91   0   0   0| 743M 52.9M 1749M 33.2M|   0    52B|   0    16k
  8   1  88   3   0   0| 743M 52.9M 1749M 33.2M|   0     0 |   0    44k
  6   2  89   3   0   0| 743M 52.9M 1749M 33.2M|   0    52B|   0     0 
  9   5  84   0   0   1| 743M 52.9M 1749M 33.2M|   0     0 |   0     0 
  9   3  86   3   0   0| 743M 52.9M 1749M 33.2M|   0    52B|   0     0 
  9   6  85   0   0   0| 743M 52.9M 1749M 33.2M|   0     0 |   0     0 
  9   6  85   1   0   0| 742M 52.9M 1747M 36.0M|   0    52B|   0   252k
  6   3  88   4   0   0| 742M 52.9M 1747M 35.9M|   0     0 |   0    32k
  6   8  86   0   0   0| 743M 52.9M 1747M 35.3M|   0    52B|   0    12k
  4   3  90   4   0   0| 743M 52.9M 1747M 35.3M|   0     0 |   0     0 
 10   5  85   0   0   0| 743M 52.9M 1747M 35.5M|   0    52B|   0     0 
  6   3  91   0   0   0| 743M 52.9M 1747M 35.5M|   0     0 |   0     0 
 13   5  79   3   0   0| 743M 52.9M 1747M 35.5M|   0    52B|   0     0 
 10   6  82   2   0   0| 743M 52.9M 1747M 35.5M|   0     0 |   0    40k
  5   3  91   2   0   0| 743M 52.9M 1747M 35.5M|   0    52B|   0     0 
 29  10  47  15   0   0| 753M 52.7M 1742M 29.4M|   0     0 | 552k 2072k
 10   8  82   0   0   0| 753M 52.7M 1736M 35.7M|   0    52B|   0     0 
 11   5  81   4   0   0| 753M 52.7M 1736M 35.7M|   0     0 |   0     0 
 19   8  73   0   0   0| 753M 52.7M 1737M 35.4M|   0    52B|   0    12k
 10   7  79   3   0   0| 744M 52.7M 1725M 56.9M|   0     0 |   0   236k
 10   3  66  21   0   0| 743M 52.8M 1725M 56.9M|   0    52B|  56k 1004k
  5   3  84   8   0   0| 743M 52.8M 1725M 56.8M|   0     0 |   0   200k
 22   7  67   3   0   0| 743M 52.8M 1728M 53.2M|   0    52B|   0     0 
  5   2  93   0   0   0| 743M 52.8M 1729M 53.0M|   0     0 |   0     0 
  5   3  93   0   0   0| 743M 52.8M 1726M 55.7M|   0    52B|   0     0 
  7   3  86   4   0   0| 743M 52.8M 1726M 55.8M|   0     0 |   0     0 
  9   3  66  22   0   0| 743M 52.8M 1726M 55.8M|   0    52B|   0   496k
 10   3  83   4   0   0| 743M 52.8M 1726M 55.7M|   0     0 |   0     0 
 11   7  82   0   0   0| 744M 52.8M 1728M 53.0M|   0    52B|   0    12k
  8   3  89   0   0   0| 744M 52.8M 1728M 53.0M|   0     0 |   0     0 
  5   3  91   1   0   0| 744M 52.8M 1725M 56.2M|   0    52B|   0     0 
  6   3  89   2   0   0| 744M 52.8M 1725M 56.2M|   0     0 |   0    76k
