[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  4   1  87   9   0   0| 733M 52.8M 1759M 32.2M|   0     0 |   0  8080k
  3   1  92   4   0   0| 733M 52.8M 1759M 32.2M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 52.8M 1759M 32.2M|   0     0 |   0     0 
  4   1  96   0   0   0| 733M 52.8M 1759M 32.2M|   0    52B|   0     0 
  3   2  92   4   0   0| 733M 52.8M 1759M 32.2M|   0     0 |   0     0 
  3   2  90   6   0   0| 733M 52.8M 1759M 32.2M|   0    52B|   0    52k
  3   2  95   0   0   0| 733M 52.8M 1750M 41.3M|   0     0 |   0     0 
  3   2  93   3   0   0| 733M 52.8M 1750M 41.4M|   0    52B|   0     0 
  4   2  95   0   0   0| 733M 52.8M 1750M 41.4M|   0     0 |   0     0 
  4   1  91   4   0   0| 733M 52.8M 1750M 41.4M|   0    52B|   0     0 
  2   1  96   2   0   0| 733M 52.8M 1750M 41.2M|   0     0 |   0    24k
  4   2  95   0   0   0| 733M 52.8M 1750M 41.1M|   0    52B|   0  4096B
  4   2  91   4   0   0| 733M 52.8M 1750M 41.1M|   0     0 |   0     0 
  3   2  95   0   0   0| 733M 52.8M 1750M 41.1M|   0    52B|   0     0 
  6   4  90   1   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0     0 
  4   1  95   0   0   0| 733M 52.8M 1765M 26.4M|   0    52B|   0    12k
  3   2  92   3   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0    16k
  4   2  91   4   0   0| 733M 52.8M 1765M 26.4M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0     0 
  3   1  92   4   0   0| 733M 52.8M 1765M 26.4M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0    12k
  3   2  93   3   0   0| 733M 52.8M 1765M 26.4M|   0    52B|   0    16k
  3   2  91   5   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0     0 
  3   2  95   0   0   0| 733M 52.8M 1765M 26.4M|   0    52B|   0     0 
  3   2  92   4   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0     0 
  4   2  94   0   0   0| 733M 52.8M 1765M 26.4M|   0    52B|   0    12k
  2   2  96   0   0   0| 733M 52.8M 1765M 26.4M|   0     0 |   0     0 
  6   3  85   6   0   0| 733M 52.7M 1755M 36.5M|   0    52B|   0    16k
  4   2  95   0   0   0| 733M 52.7M 1755M 36.6M|   0     0 |   0     0 
  3   1  95   1   0   0| 733M 52.7M 1755M 36.6M|   0    52B|   0     0 
  3   2  90   5   0   0| 733M 52.7M 1755M 36.6M|   0     0 |   0  8084k
  4   1  95   0   0   0| 733M 52.7M 1755M 36.5M|   0    52B|   0     0 
  4   1  91   4   0   0| 733M 52.7M 1755M 36.5M|   0     0 |   0     0 
  5   1  94   0   0   0| 733M 52.7M 1755M 36.5M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 52.7M 1755M 36.5M|   0     0 |   0     0 
  3   1  90   6   0   0| 733M 52.7M 1755M 36.5M|   0    52B|   0    32k
  4   1  95   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  4   1  92   4   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0     0 
  4   2  94   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  4   2  95   0   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0     0 
  4   1  94   2   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0    12k
  4   1  92   4   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0    16k
  3   3  90   4   0   1| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  4   2  95   1   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0     0 
  3   1  96   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  3   2  93   3   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0    12k
  4   2  95   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  3   3  89   5   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0    16k
  3   2  91   4   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  4   1  95   0   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0     0 
  3   2  91   4   0   1| 734M 52.7M 1740M 51.0M|   0     0 |   0    12k
  4   2  95   0   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0     0 
  4   1  95   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  3   1  92   4   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0    16k
  2   4  95   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  3   3  91   4   0   0| 734M 52.7M 1740M 51.0M|   0    52B|   0    12k
  4   1  95   0   0   0| 734M 52.7M 1740M 51.0M|   0     0 |   0     0 
  3   3  90   4   0   1| 733M 52.7M 1748M 43.7M|   0    52B|   0     0 
  4   2  94   0   0   0| 733M 52.7M 1748M 43.7M|   0     0 |   0     0 
  4   1  91   4   0   0| 733M 52.7M 1748M 43.7M|   0    52B|   0    16k
  4   1  84  12   0   0| 733M 52.7M 1748M 43.6M|   0     0 |   0  8084k
  3   1  96   0   0   0| 733M 52.7M 1748M 43.6M|   0    52B|   0     0 
  4   1  91   4   0   1| 733M 52.7M 1748M 43.6M|   0     0 |   0     0 
  3   2  95   0   0   0| 733M 52.7M 1748M 43.6M|   0    52B|   0     0 
  4   1  96   0   0   0| 733M 52.7M 1748M 43.6M|   0     0 |   0     0 
  3   2  89   7   0   0| 733M 52.7M 1748M 43.6M|   0    52B|   0    40k
  4   1  95   0   0   0| 733M 52.7M 1748M 43.6M|   0     0 |   0     0 
  4   1  92   3   0   0| 733M 52.7M 1748M 43.6M|   0    52B|   0     0 
  5   2  90   5   0   0| 733M 52.7M 1748M 43.4M|   0     0 | 136k    0 
  3   2  95   0   0   0| 733M 52.7M 1748M 43.4M|   0    52B|   0     0 
  4   2  91   4   0   0| 733M 52.7M 1748M 43.4M|   0     0 |   0    12k
  4   2  91   3   0   0| 733M 52.7M 1748M 43.4M|   0    52B|   0    16k
  4   1  95   0   0   0| 733M 52.7M 1748M 43.4M|   0     0 |   0     0 
  3   1  92   4   0   0| 733M 52.7M 1748M 43.4M|   0    52B|   0     0 
