[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  3   2  91   4   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0     0 
  4   2  92   3   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0    16k
  3   2  95   0   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0     0 
  4   1  91   4   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0    12k
  4   2  95   0   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0     0 
  4   2  91   3   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0     0 
  4   1  94   1   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0     0 
  3   2  93   2   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0    16k
  3   2  91   4   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0    16k
  4   2  94   0   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0     0 
  4   1  95   0   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0     0 
  4   3  90   4   0   0| 750M 43.8M 1718M 66.2M|   0     0 |   0     0 
  4   2  94   0   0   1| 750M 43.8M 1718M 66.2M|   0    52B|   0     0 
  4   1  80  16   0   0| 750M 43.8M 1718M 66.2M|   0     0 |   0  8084k
  7   5  88   0   0   0| 750M 43.8M 1718M 66.2M|   0    52B|   0    12k
  4   2  95   0   0   0| 750M 43.8M 1718M 66.3M|   0     0 |   0     0 
  3   2  92   3   0   0| 750M 43.8M 1718M 66.3M|   0    52B|   0     0 
  4   1  94   0   0   1| 750M 43.8M 1718M 66.2M|   0     0 |   0     0 
  4   2  91   4   0   0| 750M 43.8M 1718M 66.3M|   0    52B|   0    12k
  4   2  92   3   0   0| 750M 43.8M 1718M 66.4M|   0     0 |   0    36k
  4   2  94   0   0   0| 750M 43.8M 1718M 66.4M|   0    52B|   0     0 
  5   1  90   4   0   1| 750M 43.8M 1718M 66.4M|   0     0 |   0     0 
  3   3  94   0   0   0| 750M 43.8M 1718M 66.4M|   0    52B|   0     0 
  4   2  90   4   0   0| 750M 43.8M 1718M 66.4M|   0     0 |   0    12k
  4   1  95   0   0   0| 750M 43.8M 1718M 66.4M|   0    52B|   0     0 
  3   3  92   2   0   1| 750M 43.8M 1718M 66.4M|   0     0 |   0    16k
  4   2  91   4   0   0| 750M 43.8M 1718M 66.4M|   0    52B|   0     0 
  5   2  93   0   0   1| 750M 43.8M 1718M 66.4M|   0     0 |   0     0 
  4   2  93   1   0   0| 750M 43.8M 1718M 66.4M|   0    52B|   0    12k
  4   2  91   3   0   0| 750M 43.8M 1718M 66.4M|   0     0 |   0     0 
  4   3  94   0   0   0| 750M 43.8M 1718M 66.4M|   0    52B|   0     0 
  3   2  89   6   0   0| 750M 43.8M 1718M 66.4M|   0     0 |   0    16k
  4   2  94   0   0   0| 750M 43.8M 1715M 69.4M|   0    52B|   0     0 
  4   2  94   0   0   0| 750M 43.8M 1715M 69.4M|   0     0 |   0    12k
  5   1  90   5   0   0| 750M 43.8M 1715M 69.4M|   0    52B|   0     0 
  3   2  95   0   0   0| 750M 43.8M 1715M 69.4M|   0     0 |   0     0 
  4   2  91   4   0   0| 750M 43.8M 1715M 69.4M|   0    52B|   0     0 
  4   2  92   3   0   0| 750M 43.8M 1715M 69.4M|   0     0 |   0    16k
  3   3  94   0   0   0| 750M 43.8M 1715M 69.4M|   0    52B|   0    16k
  3   2  92   3   0   0| 750M 43.8M 1715M 69.4M|   0     0 |   0     0 
  4   2  94   0   0   1| 750M 43.8M 1715M 69.4M|   0    52B|   0     0 
  5   2  90   4   0   0| 750M 43.8M 1723M 61.4M|   0     0 |   0     0 
  5   2  94   0   0   0| 750M 43.8M 1723M 61.4M|   0    52B|   0     0 
  3   1  84  12   0   0| 750M 43.8M 1723M 61.4M|   0     0 |   0  8096k
  6  22  66   7   0   0| 750M 43.8M 1726M 58.3M|   0    52B|   0    12k
  4   2  95   0   0   0| 750M 43.8M 1726M 58.2M|   0     0 |   0     0 
  4   1  90   4   0   0| 750M 43.8M 1726M 58.2M|   0    52B|   0     0 
  4   1  95   0   0   0| 750M 43.8M 1726M 58.2M|   0     0 |   0     0 
  4   2  94   0   0   0| 750M 43.8M 1726M 58.2M|   0    52B|   0    12k
  4   2  89   6   0   0| 750M 43.9M 1726M 58.2M|   0     0 |   0    36k
