[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  7   2  87   4   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
 13   5  83   0   0   0| 531M  100M  856M 1091M|   0    52B|   0     0 
  3   3  95   0   0   0| 531M  100M  856M 1091M|   0     0 |   0     0 
  4   2  92   3   0   0| 531M  100M  863M 1084M|   0    52B|   0    16k
  4   1  95   0   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  4   2  91   4   0   0| 531M  100M  863M 1084M|   0    52B|   0     0 
  4   2  86   8   0   1| 531M  100M  863M 1084M|   0     0 |   0  7124k
  4   2  95   0   0   0| 531M  100M  863M 1084M|   0    52B|   0     0 
  3   3  91   4   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  3   3  94   0   0   0| 531M  100M  863M 1084M|   0    52B|   0     0 
  4   2  90   4   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  3   2  95   0   0   0| 531M  100M  863M 1084M|   0    52B|   0    64k
  3   2  94   1   0   1| 531M  100M  863M 1084M|   0     0 |   0  4096B
  4   2  91   4   0   0| 531M  100M  863M 1084M|   0    52B|   0     0 
  3   2  95   0   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  3   1  92   4   0   0| 531M  100M  863M 1084M|   0    52B|   0     0 
  4   2  94   0   0   0| 531M  100M  863M 1084M|   0     0 |   0    12k
  3   2  93   1   0   0| 531M  100M  863M 1084M|   0    52B|   0    16k
  5   2  89   4   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  3   2  95   0   0   0| 531M  100M  863M 1084M|   0    52B|   0     0 
  3   1  91   5   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  3   2  96   0   0   0| 531M  100M  863M 1084M|   0    52B|   0    12k
  3   2  95   0   0   0| 531M  100M  863M 1084M|   0     0 |   0     0 
  4   2  90   5   0   0| 531M  101M  863M 1084M|   0    52B|   0    12k
  4   1  94   1   0   0| 531M  101M  863M 1084M|   0     0 |   0  4096B
  4   2  94   0   0   0| 531M  101M  863M 1084M|   0    52B|   0     0 
  3   2  93   2   0   0| 531M  101M  863M 1084M|   0     0 |   0    12k
  3   1  96   0   0   0| 531M  101M  863M 1084M|   0    52B|   0     0 
  3   2  92   4   0   0| 531M  101M  863M 1084M|   0     0 |   0     0 
 23  21  53   3   0   0| 530M  101M  887M 1060M|   0    52B|   0    16k
 26  11  64   0   0   0| 530M  101M  890M 1057M|   0     0 |   0     0 
  3   1  92   4   0   0| 531M  101M  890M 1057M|   0    52B|   0    16k
 12  18  70   0   0   0| 531M  101M  908M 1039M|   0     0 |   0     0 
 25  13  59   4   0   0| 531M  101M  925M 1021M|   0    52B|   0     0 
  4   2  95   0   0   0| 531M  101M  925M 1021M|   0     0 |   0     0 
  3   3  93   2   0   0| 531M  101M  925M 1021M|   0    52B|   0    16k
  4   1  83  12   0   0| 531M  101M  925M 1021M|   0     0 |   0  7956k
  5   2  93   0   0   1| 531M  101M  925M 1021M|   0    52B|   0     0 
  3   1  92   4   0   0| 531M  101M  925M 1021M|   0     0 |   0     0 
  4   2  94   0   0   0| 531M  101M  925M 1021M|   0    52B|   0     0 
  2   2  96   0   0   0| 531M  101M  925M 1021M|   0     0 |   0     0 
  3   2  91   5   0   0| 531M  101M  925M 1021M|   0    52B|   0    24k
  4   2  93   1   0   0| 531M  101M  925M 1021M|   0     0 |   0  4096B
