[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  4   1  93   3   0   0| 753M 39.1M 1750M 35.2M|   0     0 |   0     0 
  4   1  95   0   0   0| 753M 39.1M 1750M 35.2M|   0    52B|   0     0 
  3   3  87   7   0   0| 753M 39.1M 1751M 35.1M|   0     0 | 216k   12k
  4   2  92   2   0   0| 753M 39.1M 1751M 35.1M|   0    52B|   0     0 
  5   3  83   9   0   0| 753M 39.1M 1752M 33.6M|   0     0 |1884k    0 
  5   3  86   7   0   0| 753M 39.1M 1752M 33.5M|   0    52B|   0    16k
  7   5  84   5   0   0| 753M 39.1M 1754M 32.1M|   0     0 |1208k    0 
  4   3  94   1   0   0| 753M 39.1M 1754M 32.0M|   0    52B|   0    40k
  3   2  92   4   0   0| 753M 39.1M 1754M 32.0M|   0     0 |   0     0 
  3   2  95   0   0   0| 753M 39.1M 1754M 32.0M|   0    52B|   0     0 
  4   1  89   6   0   0| 753M 39.1M 1754M 32.0M|   0     0 |   0    16k
  3   2  95   0   0   1| 753M 39.1M 1754M 32.0M|   0    52B|   0     0 
  3   3  89   5   0   0| 753M 39.1M 1761M 24.4M|   0     0 |   0  7064k
  4   2  91   4   0   0| 753M 39.1M 1761M 24.4M|   0    52B|   0     0 
  4   2  95   0   0   0| 753M 39.1M 1761M 24.4M|   0     0 |   0     0 
  4   1  91   4   0   0| 753M 39.1M 1761M 24.4M|   0    52B|   0     0 
  4   1  95   0   0   0| 753M 39.0M 1746M 39.9M|   0     0 |   0     0 
  4   2  94   1   0   0| 753M 39.0M 1746M 39.9M|   0    52B|   0    28k
  5   1  91   4   0   0| 753M 39.0M 1746M 39.9M|   0     0 |   0     0 
  4   1  95   0   0   0| 753M 39.0M 1746M 39.9M|   0    52B|   0     0 
  3   2  91   4   0   0| 753M 39.0M 1746M 39.9M|   0     0 |   0     0 
  3   1  96   0   0   0| 753M 39.0M 1746M 39.9M|   0    52B|   0     0 
  4   2  94   0   0   0| 753M 39.0M 1745M 40.3M|   0     0 |   0    12k
  3   2  89   6   0   0| 753M 39.0M 1745M 40.3M|   0    52B|   0    16k
  3   2  95   0   0   0| 753M 39.0M 1745M 40.3M|   0     0 |   0     0 
  4   1  95   0   0   0| 753M 39.0M 1745M 40.3M|   0    52B|   0     0 
  4   1  91   4   0   0| 753M 39.0M 1745M 40.3M|   0     0 |   0     0 
  4   1  95   0   0   0| 753M 39.0M 1745M 40.3M|   0    52B|   0    12k
